[np.float64(-3.769978731496055e-58), np.float64(-0.06283709750415134), np.float64(-0.02201791162967033), np.float64(-0.6807801119571191), np.float64(2719.6347591051126), np.float64(-0.4245601546256599), np.float64(0.5117225986174831), np.float64(9.6459261404914)]
[np.float64(1.3569593283115746e-15), np.float64(0.4224935362488779), np.float64(-0.11727479815259644), np.float64(0.12539883005128205), np.float64(5970.903175272448), np.float64(-0.6749637216965527), np.float64(0.18941443370028346), np.float64(9.7629177970539)]
[np.float64(2.9609533790457554e-08), np.float64(0.23157536983157717), np.float64(-0.12038243724183928), np.float64(-0.24081340576753218), np.float64(8662.4825), np.float64(-1.1497917066766905), np.float64(1.0235578299299846), np.float64(9.8466936932235)]
[np.float64(-0.000832088700701151), np.float64(0.5541686262752638), np.float64(-0.11551485217232402), np.float64(0.640155190044084), np.float64(6623.70484919513), np.float64(-2.0501201939649993), np.float64(0.7665730957451716), np.float64(9.8372910918904)]
[-0.0118182453195306, -0.022941446247516317, -0.1587998762977802, -16.777373610618195, 6273.104328886673, -0.7355466365193648, 0.09656593212405369, 9.8208518184989]
[-6.628939068914141e-160, 0.5839931730648793, -0.07468705609205746, -0.3285675380433051, 7029.536631710812, -0.24240580717128674, 1.8000639317675355, 9.9873484262079]
[-0.004224978208378134, 0.2210717296118736, -0.06681918181934839, 0.5328943228429286, 7073.445506105599, -0.32416219656545636, 1.6634134981771478, 9.9724947936624]
[7.02663030146688e-18, 0.575153949860685, -0.005093235572527433, 0.5328943228429286, 7073.445506105599, -0.5016142541529705, 1.9423590559253836, 9.9131144291794]
[4.42171329955727e-41, 0.5041314697009974, -0.01565905312995818, 0.5328943228429286, 7786.3713496896, -0.12264768098642653, 2.0929886144965897, 9.9974659588179]
[1.4667929848644942e-30, 0.05496436011303339, -0.016178893560130223, 0.5328943228429286, 6896.252014529598, -0.07864568777361086, 2.203521647334377, 9.998364993959]
[-1.9678700727698517e-44, 0.2073413378721593, -0.010911673986261626, 0.5328943228429286, 8290.379382930587, -0.2955735564379901, 2.1745591882917035, 9.9991177368751]
[1.0491057857141952e-15, 0.4584225804893305, -0.014218764727391756, 0.5328943228429286, 8290.379382930587, -0.08910175948959617, 2.260763997418307, 10.0]
